Example protocol
Configuration C,V
Send second 45
Time delay beween P : 5sec

// SET CLOCK
R:V#SH12#10639#1970-01-01 00:00:10# E:V#10639#1711953353 
R:D#SH12#12645#  E:D#12645#20240401073605 
R:V#SH12#12661#2024-04-01 07:36:04# E:V#12661#1 
R:I#SH12#13731#192.168.1.128#E8:DB:84:E3:B6:E7#40#XC200 173 WIFI#MODULE COMMENT#####(Enviar Ip y MAC cobertura y version)  E:I#13731 

//START SENDING DATA
R:M#SH12#13756#2024-04-01 07:36:05#0,19160#0,19160#  E:M#13756#2024-04-01 07:36:05 
R:P#SH12#18719#1,18928#  E:S#18719 
R:P#SH12#23718#7,18928#  E:S#23718 
R:P#SH12#33721#9,19040#  E:P#33721
R:P#SH12#38718#9,17984#  E:S#38718 
R:P#SH12#48820#17,15656#  E:S#48820 
R:P#SH12#53819#24,15872#  E:S#53819 
R:P#SH12#58821#29,15208#  E:S#58821 
R:P#SH12#63882#33,15872#  E:S#63882 
R:P#SH12#68887#38,15152#  E:S#68887 
R:P#SH12#73892#41,16552#  E:S#73892 
R:P#SH12#78894#43,15872#  E:S#78894 
R:P#SH12#83895#44,15624#  E:S#83895 
R:P#SH12#88960#47,15872#  E:S#88960 
R:P#SH12#93961#49,15744#  E:S#93961 
R:P#SH12#99004#51,15680#  E:S#99004 
R:P#SH12#104071#53,15872#  E:S#104071 
R:P#SH12#109085#53,15224#  E:S#109085 
R:P#SH12#114087#53,15712#  E:S#114087 
R:M#SH12#114666#2024-04-01 07:37:46#53,17144#53,17144#  E:M#114666#2024-04-01 07:37:46 
R:P#SH12#119089#54,16352#  E:S#119089 
R:P#SH12#124089#56,16352#  E:S#124089 
R:P#SH12#129102#63,15680#  E:S#129102 
R:P#SH12#134104#69,15632#  E:S#134104 
R:P#SH12#139103#69,16632#  E:S#139103 
R:P#SH12#144103#69,16544#  E:S#144103 
R:P#SH12#149106#69,16888#  E:S#149106 
R:P#SH12#154196#69,15872#  E:S#154196 
R:P#SH12#159198#69,15872#  E:S#159198 
R:P#SH12#164202#69,15872#  E:S#164202 
R:P#SH12#169201#72,15872#  E:S#169201 
R:P#SH12#174199#72,15712#  E:S#174199 
R:M#SH12#174666#2024-04-01 07:38:46#19,15800#72,15800#  E:M#174666#2024-04-01 07:38:46 
R:P#SH12#179199#72,15872#  E:S#179199 
R:P#SH12#184198#72,16216#  E:S#184198 
R:P#SH12#189199#72,16352#  E:S#189199 
